ocn1	canonical_name	wikipedia_name	person	people_raw	wikipedia_article	moves_san	moves_uci	source_tier	evidence_grade	already_attributed	citation
E.Gru.Rus.Hng.e4.b6	Grünfeld Russian Hungarian, b6	Levenfish Variation of the Grünfeld Defence	Grigory Levenfish	Grigory Levenfish	Grigory Levenfish	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 0-0 7.e4 b6	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 b7b6	web	attested		<ref>{{cite web|url=http://www.chessarch.com/library/0000_eco/d70_d99.shtml|title=D70-D99: Grünfeld: Russian (Levenfish)|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Ret.Lis	Réti Opening, Lisitsyn Gambit	Lisitsin Gambit of the Zukertort Opening	Georgy Lisitsin	Georgy Lisitsin	Georgy Lisitsin	1.Nf3 f5 2.e4	g1f3 f7f5 e2e4	book	attested		<ref name="Gordon 1994">{{cite book |last=Gordon |first=Stephen W. |year=1994 |title=The Lisitsin Gambit |publisher=The House of Staunton |isbn=0875682502}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Ita.Two.Ng5.Lol	Two Knights, Lolli Attack	Lolli Variation of the Two Knights Defense	Giambattista Lolli	Giambattista Lolli	Giambattista Lolli	1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Nxd5 6.d4	e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 f6d5 d2d4	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Italian-Game-Knight-Attack-Lolli-Attack|title=Italian Game: Two Knights Defense, Lolli Attack (C57)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Luc	Ruy López, Lucena Variation	Lucena Defence of the Ruy Lopez	Luis Ramirez de Lucena	Luis Ramirez de Lucena	Luis Ramirez de Lucena	1.e4 e5 2.Nf3 Nc6 3.Bb5 Be7	e2e4 e7e5 g1f3 b8c6 f1b5 f8e7	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Mik	Mikėnas Defence	Lundin Defense	Erik Lundin	Erik Lundin	Erik Lundin	1.d4 Nc6	d2d4 b8c6	web	attested		<ref>{{cite web|url=http://www.365chess.com/opening.php?m=3&n=104&ms=d4.Nc6|title=A40: Queen's pawn, Lundin (Kevitz-Mikenas) defence|publisher=365Chess.com|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Gru.Sml	Grünfeld, Sämisch	Lutikov Variation of the Grünfeld Defence	Anatoly Lutikov	Anatoly Lutikov	Anatoly Lutikov	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.f3	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 f2f3	web	attested		<ref name="WallBill"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KPO.c3	King's Pawn Game, MacLeod Attack	MacLeod Attack	Nicholas MacLeod	Nicholas MacLeod	Nicholas MacLeod	1.e4 e5 2.c3	e2e4 e7e5 c2c3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.KID.Mak	KID, Makogonov	Makogonov System of the King's Indian Defence	Vladimir Makogonov	Vladimir Makogonov	Vladimir Makogonov	1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.h3	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 h2h3	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=E71|title=King's Indian, Makagonov System (5.h3) (E71)|publisher=ChessGames.com|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Acc.Mar	Accelerated Dragon, Maróczy Bind	Maróczy Bind of the Sicilian Defence	Géza Maróczy	Géza Maróczy	Géza Maróczy	1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4	e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6 c2c4	encyclopaedia	attested	yes	<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Mar	Ruy López, Marshall Attack	Marshall Attack of the Ruy Lopez	Frank Marshall	Frank Marshall	Frank Marshall (chess player)	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Be7 6.Re1 b5 7.Bb3 0-0 8.c3 d5	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5	web	attested	yes	<ref>{{cite web|url=http://www.chesshistory.com/winter/extra/marshallgambit.html|title=The Marshall Gambit|last=Winter|first=Edward|accessdate=2009-06-01}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.QGD.Mar	QGD, Marshall Defence	Marshall Defense to the Queen's Gambit	Frank Marshall	Frank Marshall	Frank Marshall (chess player)	1.d4 d5 2.c4 Nf6	d2d4 d7d5 c2c4 g8f6	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.Sem.Mar.MLn	Semi-Slav Marshall, Main Line	Marshall Gambit in the Semi-Slav Defense	Frank Marshall	Frank Marshall	Frank Marshall (chess player)	1.d4 d5 2.c4 e6 3.Nc3 c6 4.e4 dxe4 5.Nxe4 Bb4+ 6.Bd2	d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e4 d5e4 c3e4 f8b4 c1d2	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.Tar.Mar	Tarrasch, Marshall Gambit	Marshall Gambit of the Tarrasch Defense	Frank Marshall	Frank Marshall	Frank Marshall (chess player)	1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.e4	d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 e2e4	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Fre.d4.d5	Sicilian French, Marshall Counterattack	Marshall Variation of the Sicilian Defence	Frank Marshall	Frank Marshall	Frank Marshall (chess player)	1.e4 c5 2.Nf3 e6 3.d4 d5	e2e4 c7c5 g1f3 e7e6 d2d4 d7d5	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Ita.Two.Max	Italian Two Knights, Max Lange Attack	Max Lange Attack of the Two Knights Defense	Max Lange	Max Lange	Max Lange	1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.0-0 Bc5 6.e5	e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4 e1g1 f8c5 e4e5	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Fre.Mac	French, MacCutcheon	McCutcheon Variation of the French Defence	John Lindsay McCutcheon	John Lindsay McCutcheon		1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=C12|title=French, McCutcheon (C12)|publisher=ChessGames.com|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Nf3.KKn.Bc4.McD	King's Gambit Accepted, McDonnell Gambit	McDonnell Gambit of the King's Gambit	Alexander McDonnell	Alexander McDonnell	Alexander McDonnell (chess player)	1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 6.Nc3	e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 g5g4 b1c3	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=C37|title=Mcdonnell Gambit}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Mie	Mieses Opening	Mieses Opening	Jacques Mieses	Jacques Mieses	Jacques Mieses	1.d3	d2d3	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Ben.Mod.Fou.Mik	Modern Benoni Four Pawns, Mikėnas	Mikenas Variation of the Modern Benoni	Vladas Mikėnas	Vladas Mikėnas	Vladas Mikėnas	1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.e5	d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4 f8g7 e4e5	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Benoni-Defense-Modern-Pawn-Storm-Mikenas-Variation|title=Benoni Defense: Mikenas Variation (A66)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.QID.Mil	QID, Miles Variation	Miles Variation of the Queen's Indian Defense	Tony Miles	Tony Miles	Tony Miles	1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Bf4	d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 c1f4	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Fre.Tar.Mor	French Tarrasch, Morozevich Variation	Morozevich Variation of the French Defence	Alexander Morozevich	Alexander Morozevich	Alexander Morozevich	1.e4 e6 2.d4 d5 3.Nd2 Be7	e2e4 e7e6 d2d4 d7d5 b1d2 f8e7	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/French-Defense-Tarrasch-Morozevich-Variation|title=French Defense: Tarrasch Variation, Morozevich Variation (C03)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Mor	Ruy López, Morphy Defence	Morphy Defense to the Ruy Lopez	Paul Morphy	Paul Morphy	Paul Morphy	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Fre.Nrm.d5.Nh3	French Defence, Morphy Gambit	Morphy Gambit of the French Defence	Paul Morphy	Paul Morphy	Paul Morphy	1.e4 e6 2.d4 d5 3.Nh3	e2e4 e7e6 d2d4 d7d5 g1h3	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/French-Defense-Morphy-Gambit|title=French Defense: Morphy Gambit (C01)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Muz.Dbl.MLn	Double Muzio Gambit, Main Line	Muzio Gambit of the King's Gambit	Jacob Sarratt; Alessandro Salvio	Mutio d'Alessandro, a third-rate Neapolitan player, following a mistranslation by Jacob Sarratt of Alessandro Salvio	Jacob Sarratt; Alessandro Salvio	1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.0-0 gxf3 6.Qxf3	e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 g5g4 e1g1 g4f3 d1f3	web	attested		<ref>original spelling</ref> <ref>[[Harold James Ruthven Murray]], ''A History of Chess'', p826</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Gru.cxd5.Nxd5.Na4	Grünfeld Exchange Prefix, Na4	Nadanian Variation of the Grünfeld Defence	Ashot Nadanian	Ashot Nadanian	Ashot Nadanian	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.Na4	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 c3a4	web	attested		<ref>{{cite web|url=http://www.newinchess.com/Ashot_Nadanian-sa-133.html|title=Ashot Nadanian – Yearbook Surveys|publisher=New In Chess|accessdate=2009-10-27|url-status=dead|archiveurl=https://archive.today/20120530164219/http://www.newinchess.com/Ashot_Nadanian-sa-133.html|archivedate=2012-05-30}}< -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Naj	Sicilian, Najdorf	Najdorf Variation of the Sicilian Defence	Miguel Najdorf	Miguel Najdorf	Miguel Najdorf	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6	web	attested	yes	<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=b90|title=Sicilian, Najdorf (B90)|publisher=ChessGames.com|accessdate=2009-10-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KPO.Nap	Napoleon Opening	Napoleon Opening	Napoleon Bonaparte	Napoleon Bonaparte	Napoleon Bonaparte	1.e4 e5 2.Qf3	e2e4 e7e5 d1f3	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessgame?gid=1250610|title=Napoleon Bonaparte vs. The Turk (Automaton), Schoenbrunn 1809, King Pawn Game: Napoleon Attack|publisher=ChessGames.com|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Kie.Nc6	Kieseritzky Gambit, Nc6	Neumann Defense of the King's Gambit	Gustav Neumann	Gustav Neumann	Gustav Neumann	1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nc6	e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5 b8c6	web	attested		<ref>{{cite web|url=https://www.365chess.com/eco/C39_King's_Gambit_Accepted_Kieseritsky_Neumann_defence|title=C39: King's Gambit Accepted, Kieseritzsky, Neumann Defense|publisher=365chess.com|accessdate=2023-03-31}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Nim	Nimzo-Indian Defence	Nimzo-Indian Defence	Aron Nimzowitsch	Aron Nimzowitsch	Aron Nimzowitsch	1.d4 Nf6 2.c4 e6 3.Nc3 Bb4	d2d4 g8f6 c2c4 e7e6 b1c3 f8b4	book	attested		<ref>{{cite book | author=Hansen, Carsten | title=The Nimzo-Indian: 4 e3 | publisher=Gambit Publications Ltd | year=2002 | isbn=1-901983-58-7}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Nim	Nimzowitsch Defence	Nimzowitsch Defence	Aron Nimzowitsch	Aron Nimzowitsch	Aron Nimzowitsch	1.e4 Nc6	e2e4 b8c6	book	attested		<ref>{{cite book|last=Harding|first=T. D.|title=The Nimzowitsch defence : 1e4 Nc6|publisher=Batsford|year=1981|isbn=978-0-7134-3597-9}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Nim	Sicilian, Nimzowitsch Variation	Nimzowitsch Variation of the Sicilian Defense	Aron Nimzowitsch	Aron Nimzowitsch	Aron Nimzowitsch	1.e4 c5 2.Nf3 Nf6	e2e4 c7c5 g1f3 g8f6	web	attested		<ref name="Sicilian"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.OKe	Sicilian, O'Kelly	O'Kelly Variation of the Sicilian Defence	Albéric O'Kelly de Galway	Albéric O'Kelly de Galway	Albéric O'Kelly de Galway	1.e4 c5 2.Nf3 a6	e2e4 c7c5 g1f3 a7a6	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=B28|title=Sicilian, O'Kelly Variation (B28)|publisher=ChessGames.com|accessdate=2009-10-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Tro	Trompowsky Attack	Opočenský Opening (i.e. Trompowsky Attack)	Karel Opočenský	Karel Opočenský	Karel Opočenský	1.d4 Nf6 2.Bg5	d2d4 g8f6 c1g5	oxford-companion	attested	yes	{{sfn|Hooper|Whyld|1992|p=281}} -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Naj.Be2	Sicilian Najdorf, Opočenský Variation	Opočenský Variation of the Sicilian Defence	Karel Opočenský	Karel Opočenský	Karel Opočenský	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be2	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=B92|title=Sicilian, Najdorf, Opocensky Variation (B92)|publisher=ChessGames.com|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.OwM	Owen's Modern (...b6 vs e4)	Owen's Defense	John Owen	John Owen	John Owen (chess player)	1.e4 b6	e2e4 b7b6	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.CaK.Pmv	Caro-Kann, Panov-Botvinnik Attack	Panov Attack of the [[Caro	Vasily Panov	Vasily Panov	Vasily Panov	1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4	e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KPO.Qh5	King's Pawn Game, Wayward Queen Attack	Parham Attack	Bernard Parham	Bernard Parham	Bernard Parham	1.e4 e5 2.Qh5	e2e4 e7e5 d1h5	web	attested		<ref>{{cite web|url=http://www.thechessdrum.net/newsbriefs/2003/NB_BParham.html|title=Bernard Parham: Creator of the Matrix System|publisher=Thechessdrum.net|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Pet.Nxe5.d6.Nc4	Petrov Defence, Paulsen Attack	Paulsen Attack of the Petrov's Defence	Louis Paulsen	Louis Paulsen	Louis Paulsen	1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nc4	e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5c4	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.KID.Cls.Pet	KID Classical, Petrosian	Petrosian Variation of the King's Indian Defence	Tigran Petrosian	Tigran Petrosian	Tigran Petrosian	1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 0-0 6.Be2 e5 7.d5	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 d4d5	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.QID.Pet	QID, Petrosian	Petrosian Variation of the Queen's Indian Defense	Tigran Petrosian	Tigran Petrosian	Tigran Petrosian	1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.a3	d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Pet	Petrov Defence	Petrov Defense	Alexander Petrov	Alexander Petrov	Alexander Petrov (chess player)	1.e4 e5 2.Nf3 Nf6	e2e4 e7e5 g1f3 g8f6	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.PhD.d4.f5	Philidor Countergambit	Philidor Countergambit	François-André Danican Philidor	François-André Danican Philidor	François-André Danican Philidor	1.e4 e5 2.Nf3 d6 3.d4 f5	e2e4 e7e5 g1f3 d7d6 d2d4 f7f5	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.PhD	Philidor Defence	Philidor Defence	François-André Danican Philidor	François-André Danican Philidor	François-André Danican Philidor	1.e4 e5 2.Nf3 d6	e2e4 e7e5 g1f3 d7d6	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Bsh.Bc5.c3	Bishop's Opening, Philidor Variation	Philidor Variation of the Bishop's Opening	François-André Danican Philidor	François-André Danican Philidor	François-André Danican Philidor	1.e4 e5 2.Bc4 Bc5 3.c3	e2e4 e7e5 f1c4 f8c5 c2c3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Pir	Pirc Defence	Pirc Defence	Vasja Pirc	Vasja Pirc	Vasja Pirc	1.e4 d6 2.d4 Nf6 3.Nc3 g6	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Kie.Be7	Kieseritzky Gambit, Be7	Polerio Defense of the King's Gambit	Giulio Cesare Polerio	Giulio Cesare Polerio	Giulio Cesare Polerio	1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Be7	e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5 f8e7	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Kings-Gambit-Accepted-Kieseritzky-Polerio-Defense|title=King's Gambit Accepted: Kieseritzsky, Polerio Defense|publisher=Chess.com|accessdate=2023-03-31}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Pol	Ruy López, Pollock Defence	Pollock's Defense to the Ruy Lopez	William Pollock	William Pollock	William Pollock (chess player)	1.e4 e5 2.Nf3 Nc6 3.Bb5 Na5	e2e4 e7e5 g1f3 b8c6 f1b5 c6a5	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Naj.Pol	Sicilian Najdorf, Polugaevsky	Polugaevsky Variation of the Sicilian Defence	Lev Polugaevsky	Lev Polugaevsky	Lev Polugaevsky	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bg5 e6 7.f4 b5	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 b7b5	book	attested	yes	<ref>{{cite book|last=Adams|first=Jimmy|title=Sicilian Najdorf Polugaevsky Variation|publisher=The Chess Player|year=1978|isbn=0-906042-09-7}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Pon	Ponziani Opening	Ponziani Opening	Domenico Lorenzo Ponziani	Domenico Lorenzo Ponziani	Domenico Lorenzo Ponziani	1.e4 e5 2.Nf3 Nc6 3.c3	e2e4 e7e5 g1f3 b8c6 c2c3	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Bul	Ruy López, Bulgarian Variation	Popov Variation of the Ruy Lopez	Georgi Alexandrov Popov	Bulgarian correspondence player Georgi Alexandrov Popov	Georgi Alexandrov Popov	1.e4 e5 2.Nf3 Nc6 3.Bb5 a5	e2e4 e7e5 g1f3 b8c6 f1b5 a7a5	web	attested		<ref>{{cite web|url=https://www.newinchess.com/Archives/SOSList.aspx?AuthorID=355|title=SOS Vol. 9 Chapter 15: Ruy Lopez: the Popov Variation|publisher=New in Chess|accessdate=2009-10-29|archive-url=https://web.archive.org/web/20160305182031/https://www.newinchess.com/Archives/SOSList.aspx?AuthorID= -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Nf3.Qc7	Sicilian 2.Nf3, Quinteros Variation	Quinteros Variation of the Sicilian Defence	Miguel Quinteros	Miguel Quinteros	Miguel Quinteros	1.e4 c5 2.Nf3 Qc7	e2e4 c7c5 g1f3 d8c7	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Sicilian-Defense-Quinteros-Variation|title=Sicilian Defense: Quinteros Variation (B27)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Ret.d5.c4	Réti Opening, 2.c4	Réti Opening	Richard Réti	Richard Réti	Richard Réti	1.Nf3 d5 2.c4	g1f3 d7d5 c2c4	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Kie.MLn.Bc4.Ri2	King's Gambit Accepted, Kieseritzky, Rice Gambit	Rice Gambit of the King's Gambit	Isaac Rice	Isaac Rice	Isaac Rice (businessman)	1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6 6.Bc4 d5 7.exd5 Bd6 8.0-0	e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5 g8f6 f1c4 d7d5 e4d5 f8d6 e1g1	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Cls.Rch.e6.Qd2	Richter-Rauzer, Traditional Variation	Richter	Kurt Richter; Vsevolod Rauzer	Kurt Richter and Vsevolod Rauzer	Kurt Richter; Vsevolod Rauzer	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2	web	attested		<ref name="Sicilian"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.QPG.Ver	Queen's Pawn Game, Veresov Setup	[[Richter	Kurt Richter; Gavriil Veresov	Kurt Richter and Gavriil Veresov	Kurt Richter; Gavriil Veresov	1.d4 d5 2.Nc3 Nf6 3.Bg5	d2d4 d7d5 b1c3 g8f6 c1g5	book	attested		<ref>{{cite book|last=Gufeld|first=Eduard|author2=Stetsko, Oleg|title=Richter-Veresov System: The Chameleon Chess Repertoire|publisher=Thinkers Pr Inc / Chessco|year=2000|isbn=978-0-938650-97-3}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.QID.Euw.MLn.Riu	QID Euwe Main Line, Riumin Variation	Riumin Variation of the Queen's Indian Defense	Nikolai Riumin	Nikolai Riumin	Nikolai Riumin	1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 5.Bg2 Bb4+ 6.Bd2 Be7	d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 b4e7	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Queens-Indian-Defense-Fianchetto-Capablanca-Riumin-Variation|title=Queen's Indian Defense: Riumin Variation (E16)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Mod.Std	Modern Defence, Standard Setup	Robatsch Defence	Karl Robatsch	Karl Robatsch	Karl Robatsch	1.e4 g6 2.d4 Bg7	e2e4 g7g6 d2d4 f8g7	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Ros	Sicilian Rossolimo	Rossolimo Variation of the Sicilian Defence	Nicolas Rossolimo	Nicolas Rossolimo	Nicolas Rossolimo	1.e4 c5 2.Nf3 Nc6 3.Bb5	e2e4 c7c5 g1f3 b8c6 f1b5	web	attested	yes	<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=b31|title=Sicilian, Rossolimo Variation (B31)|publisher=ChessGames.com|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
