ocn1	canonical_name	wikipedia_name	place	relation	moves_san	moves_uci	source_tier	evidence_grade	already_attributed	citation
A.Pol.Nh6	Polish Opening, Karniewski Variation	Tuebingen Variation of the Polish Opening	Tuebingen	alias-candidate	1.b4 Nh6	b2b4 g8h6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Van.Tub	Van Geet Opening, Tübingen Gambit	Tuebingen Gambit of the Dunst Opening	Tuebingen	alias-candidate	1.Nc3 Nf6 2.g4	b1c3 g8f6 g2g4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Ele	Elephant Gambit	Turkish Gambit (or the Elephant Gambit)	Turkish	alias-candidate	1.e4 e5 2.Nf3 d5	e2e4 e7e5 g1f3 d7d5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.OldI.Ukr	Old Indian, Ukrainian	Ukrainian Variation of the Old Indian Defense	Ukrainian	named-after-place	1.d4 Nf6 2.c4 d6 3.Nc3 e5	d2d4 g8f6 c2c4 d7d6 b1c3 e7e5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Mie.ReR.Val	Mieses Reversed Rat, Valencia Opening	Valencia Opening (or Mieses Opening)	Valencia	named-after-place	1.d3 e5 2.Nd2	d2d3 e7e5 b1d2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Mie.Ven	Mieses Opening, Venezolana Variation	Venezolana Variation of the Mieses Opening	Venezolana	named-after-place	1.d3 c5 2.Nc3 Nc6 3.g3	d2d3 c7c5 b1c3 b8c6 g2g3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Hor.Fch.MLn.Bg5.c5.Qb6	Horwitz French Pseudo-Tarrasch, Canal Qb6 Line	Venice Variation of the Queen's Gambit Declined	Venice	alias-candidate	1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 c5 5.cxd5 Qb6	d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 c7c5 c4d5 d8b6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Vie	Vienna Game	Vienna Game	Vienna	named-after-place	1.e4 e5 2.Nc3	e2e4 e7e5 b1c3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Vie.Nc6.f4	Vienna Gambit, Max Lange Defence	Vienna Gambit	Vienna	named-after-place	1.e4 e5 2.Nc3 Nc6 3.f4	e2e4 e7e5 b1c3 b8c6 f2f4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Clo.Nc6.g4	Closed Sicilian, Grob Attack	Vinohrady Variation of the Sicilian Defense	Vinohrady	alias-candidate	1.e4 c5 2.Nc3 Nc6 3.g4	e2e4 c7c5 b1c3 b8c6 g2g4	web	attested		<ref>{{cite news|url=https://www.washingtonpost.com/wp-dyn/content/article/2006/08/06/AR2006080600540.html|title=Lubomir Kavalek: The Vinohrady Variation|last=Kavalek|first=Lubomir|date=2006-08-07|newspaper=The Washington Post|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Ben.Bnk	Benko / Volga Gambit	Volga Gambit	Volga	named-after-place	1.d4 Nf6 2.c4 c5 3.d5 b5 (named for the [[Volga River]], the national river of [[Russia]])	d2d4 g8f6 c2c4 c7c5 d4d5 b7b5	none	traditional	yes	no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Ale.Exc.Vor	Alekhine Exchange, Voronezh Variation	Voronezh Variation of the Alekhine's Defense	Voronezh	named-after-place	1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.exd6 cxd6 6.Nc3 g6 7.Be3 Bg7 8.Rc1 0-0 9.b3	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 e5d6 c7d6 b1c3 g7g6 c1e3 f8g7 a1c1 e8g8 b2b3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Sla.Cze.Kra.MLn.e6	Slav Czech Krause, Wiesbaden	Wiesbaden Variation of the Slav Defense	Wiesbaden	named-after-place	1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.Ne5 e6	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.Ita.Two.Ng5.Trx	Two Knights, Traxler Counterattack	Wilkes-Barre Variation of the Italian Game, Two Knights Defense	Wilkes-Barre	alias-candidate	1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 Bc5!?	e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 f8c5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.OKe.Nc3	Sicilian O'Kelly, Yerevan System	Yerevan System of the Sicilian Defense	Yerevan	named-after-place	1.e4 c5 2.Nf3 a6 3.Nc3	e2e4 c7c5 g1f3 a7a6 b1c3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Dra.Be3.Bg7.f3	Dragon Be3, Yugoslav Early Deviations	Yugoslav Attack in the Sicilian Defense, Dragon Variation	Yugoslav Sicilian	alias-candidate	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Pir	Pirc Defence	Yugoslav Defense (or Pirc Defense)	Yugoslav	alias-candidate	1.e4 d6 2.d4 Nf6 3.Nc3 g6	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
E.Ben.Bnk.Acc.MLn.g6.Ne2	Benko Accepted g6, Yugoslav	Yugoslav Variation of the Benko Gambit	Yugoslav	named-after-place	1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6 7.e4 Bxf1 8.Kxf1 d6 9.Nge2	d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 g7g6 b1c3 c8a6 e2e4 a6f1 e1f1 d7d6 g1e2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Naj.g3	Sicilian Najdorf, Zagreb Variation	Zagreb Variation of the Sicilian Defense, Najdorf Variation	Zagreb	named-after-place	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.g3	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 g2g3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Mik.Zai	Mikėnas Defence, Zaire	Zaire Defense of the Queen's Knight Defense	Zaire	named-after-place	1.d4 Nc6 2.d5 Nb8 3.e4 Nf6 4.e5 Ng8	d2d4 b8c6 d4d5 c6b8 e2e4 g8f6 e4e5 f6g8	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.QPG.Zur	Queen's Pawn Game, Zurich Gambit	Zurich Gambit	Zurich	named-after-place	1.d4 d5 2.g4	d2d4 d7d5 g2g4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
